연도,역명,승차총승객수,하차총승객수,총이용량
2022,신도림,45798,45147,90945
2022,대림,23697,24226,47923
2022,구로디지털단지,60520,60634,121154
2022,신대방,25965,25391,51356
2022,신림,61983,60624,122607
2022,봉천,23996,22385,46381
2022,사당,36033,39314,75347
2022,방배,17753,18454,36207
2022,교대,35010,39389,74399
2022,강남,88820,86868,175688
2022,삼성,53338,53772,107110
2022,잠실,67366,67356,134722
2022,잠실나루,14763,14408,29171
2022,아현,9863,9460,19323
2022,용두,2662,2755,5417
2022,시청,24913,23899,48812
2022,신당,13915,14514,28429
2022,상왕십리,14406,14224,28630
2022,왕십리,15496,13172,28668
2022,한양대,6970,7312,14282
2022,성수,39178,42286,81464
2022,건대입구,34195,36169,70364
2022,구의,24303,23911,48214
2022,잠실나루,14986,14461,29447
2022,잠실,68262,67853,136115
2022,삼성,53163,53728,106891
2022,강남,88530,85855,174385
2022,교대,35390,39856,75246
2022,방배,17644,18331,35975
2022,사당,36681,39503,76184
2022,봉천,24124,22793,46917
2022,신림,62999,61637,124636
2022,신대방,26303,25672,51975
2022,구로디지털단지,60610,60593,121203
2022,대림,23911,24663,48574
2022,신도림,47560,46892,94452
2022,문래,21808,22193,44001
2022,영등포구청,23831,24437,48268
2022,당산,18360,21247,39607
2022,합정,31127,31944,63071
2022,홍대입구,53110,53614,106724
2022,이대,12590,13344,25934
2022,아현,9910,9617,19527
2022,충정로,10230,10828,21058
2022,용답,2709,2772,5481
2022,신설동,3468,3550,7018
2022,양천구청,6930,7347,14277
2022,용두,2571,2709,5280
2022,양천구청,6784,7137,13921
2022,신설동,3432,3456,6888
2022,용답,2652,2714,5366
2022,충정로,9803,10263,20066
2022,아현,9867,9371,19238
2022,이대,12448,12746,25194
2022,홍대입구,51805,52873,104678
2022,합정,30141,31231,61372
2022,당산,17867,20671,38538
2022,영등포구청,23469,23786,47255
2022,문래,21562,21917,43479
